,Overall Qual,MS SubClass,Full Bath,Half Bath,Fireplaces,Gr Liv Area,Year Built,Year Remod/Add,Garage Area,TotRms AbvGrd,Open Porch SF,Wood Deck SF,Lot Area,MS Zoning,Lot Config,Condition 1,Bldg Type,House Style,Roof Style,Exterior 2nd,Exter Qual,Foundation,Heating QC,Sale Type,Kitchen Qual,Neighborhood,Lot Shape,SalePrice,Area_x_Rooms
1737,8,60,2,1,3,2826,1992,1993,888.0,9,208,177,11025,RL,Inside,Norm,1Fam,2Story,Gable,ImStucc,Gd,PConc,Ex,WD ,Gd,NoRidge,Reg,334000,25434
944,6,80,2,1,1,2119,1972,1972,583.0,7,104,0,10448,RL,Corner,Norm,1Fam,SLvl,Gable,HdBoard,TA,CBlock,TA,COD,TA,NWAmes,IR1,158000,14833
46,5,50,2,0,0,1604,1941,1960,660.0,6,68,0,10998,RL,Inside,Norm,1Fam,1.5Fin,Gable,Wd Sdng,TA,CBlock,Ex,WD ,TA,Edwards,Reg,117000,9624
2012,8,60,2,1,0,1828,2006,2007,876.0,7,40,0,10732,RL,Corner,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Ex,New,Gd,NridgHt,IR1,250000,12796
1041,7,160,2,1,0,1452,1999,1999,506.0,6,34,0,3768,FV,FR2,Norm,TwnhsE,2Story,Hip,MetalSd,Gd,PConc,Ex,WD ,Gd,Somerst,Reg,156000,8712
853,6,50,2,0,0,1497,1937,2000,672.0,5,0,272,6000,RM,Inside,Norm,1Fam,1.5Fin,Gable,Wd Sdng,TA,BrkTil,Ex,WD ,TA,BrkSide,Reg,157000,7485
0,6,60,2,1,0,1479,1976,2005,475.0,6,44,0,13517,RL,CulDSac,RRAe,1Fam,2Story,Gable,Plywood,Gd,CBlock,Ex,WD ,Gd,Sawyer,IR1,130500,8874
1453,4,20,2,0,1,1620,1976,1993,490.0,8,78,120,9991,RL,Corner,Feedr,1Fam,1Story,Gable,Plywood,TA,CBlock,Ex,WD ,TA,Sawyer,IR1,150000,12960
2017,2,30,1,0,0,540,1941,1950,200.0,4,0,0,8154,RM,Inside,Norm,1Fam,1Story,Gable,Wd Sdng,TA,BrkTil,TA,ConLw,TA,IDOTRR,Reg,82000,2160
321,7,60,2,1,1,1733,2004,2004,433.0,7,48,144,8577,RL,Inside,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,Gilbert,IR1,185088,12131
1466,4,190,2,0,0,1315,1958,1958,436.0,5,0,0,4330,RM,Inside,Norm,2fmCon,1.5Fin,Gable,MetalSd,TA,BrkTil,TA,COD,TA,IDOTRR,Reg,99500,6575
848,6,20,1,0,0,1052,1963,1963,311.0,6,133,0,10800,RL,Inside,Norm,1Fam,1Story,Gable,HdBoard,TA,CBlock,TA,COD,TA,NWAmes,Reg,127000,6312
1259,9,60,2,1,2,2153,2000,2000,736.0,8,142,253,11050,RL,Inside,PosN,1Fam,2Story,Hip,VinylSd,Gd,PConc,Ex,WD ,Ex,CollgCr,Reg,313000,17224
358,5,20,1,0,0,1057,1955,1999,288.0,6,0,0,10519,RL,Inside,Norm,1Fam,1Story,Hip,MetalSd,TA,CBlock,Gd,WD ,Gd,Edwards,Reg,137000,6342
1090,7,70,2,0,2,2403,1940,1950,349.0,10,0,56,24090,RL,Inside,Norm,1Fam,2Story,Gable,MetalSd,TA,CBlock,Ex,COD,TA,ClearCr,Reg,244400,24030
1464,5,20,1,0,0,858,1958,2008,0.0,4,0,117,7207,RL,Inside,Norm,1Fam,1Story,Gable,Plywood,TA,CBlock,Gd,WD ,TA,BrkSide,IR1,116500,3432
149,4,50,1,1,1,1962,1915,1950,572.0,9,0,160,8094,RM,Inside,Norm,1Fam,1.5Fin,Gable,MetalSd,TA,CBlock,Ex,WD ,TA,OldTown,Reg,149500,17658
213,5,20,1,0,0,960,1963,2003,300.0,6,0,168,9239,RL,Inside,Feedr,1Fam,1Story,Gable,VinylSd,TA,CBlock,Ex,WD ,Gd,Sawyer,Reg,144900,5760
875,6,20,1,0,0,1081,1960,1993,401.0,5,82,36,12929,RL,Inside,Norm,1Fam,1Story,Gable,Wd Sdng,TA,CBlock,TA,WD ,TA,NAmes,IR1,148000,5405
1971,6,50,2,0,0,1716,1915,2004,672.0,8,195,0,9144,RL,Inside,Norm,1Fam,1.5Fin,Gable,VinylSd,TA,BrkTil,Ex,WD ,Gd,BrkSide,Reg,162500,13728
1574,7,20,2,0,0,1422,2004,2004,626.0,7,60,192,8500,RL,FR2,Norm,1Fam,1Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,CollgCr,Reg,179600,9954
194,5,90,2,2,0,2634,1969,1969,968.0,12,0,0,11643,RL,Inside,Artery,Duplex,2Story,Gable,MetalSd,TA,CBlock,TA,WD ,TA,NAmes,Reg,200000,31608
1565,8,20,2,0,0,1312,2001,2001,471.0,5,28,256,6718,RL,Inside,Norm,1Fam,1Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,Timber,IR1,180500,6560
1131,6,160,2,1,1,2521,1973,1973,576.0,10,20,728,3964,RM,Inside,Norm,TwnhsE,2Story,Gable,CmentBd,TA,CBlock,Gd,WD ,TA,MeadowV,Reg,151400,25210
746,5,90,2,0,0,1560,1958,1958,484.0,8,0,0,8078,RL,Inside,Norm,Duplex,1Story,Hip,Wd Sdng,TA,CBlock,TA,WD ,TA,NAmes,Reg,128600,12480
1828,7,20,2,0,0,1621,1984,1998,440.0,8,45,108,14145,RL,Corner,Norm,1Fam,1Story,Gable,Wd Sdng,Gd,CBlock,Ex,WD ,Gd,NWAmes,Reg,202500,12968
189,8,60,2,1,1,2576,2006,2006,666.0,10,100,324,12438,RL,Inside,Norm,1Fam,2Story,Hip,VinylSd,Ex,PConc,Ex,New,Ex,StoneBr,IR1,361919,25760
1541,6,80,1,0,1,1146,1963,1963,294.0,6,75,345,10184,RL,Inside,Norm,1Fam,SLvl,Gable,HdBoard,TA,CBlock,TA,WD ,TA,NAmes,Reg,165000,6876
564,6,120,2,0,0,1337,1998,1999,511.0,5,68,144,4060,RH,Inside,Norm,TwnhsE,1Story,Gable,MetalSd,Gd,PConc,Ex,COD,Gd,NAmes,Reg,181000,6685
1917,6,20,2,0,2,2073,1978,1988,500.0,7,0,349,13175,RL,Inside,Norm,1Fam,1Story,Gable,Plywood,TA,CBlock,TA,WD ,TA,NWAmes,Reg,210000,14511
800,10,20,2,1,1,2290,2007,2007,1174.0,7,30,192,17169,RL,CulDSac,Norm,1Fam,1Story,Hip,CmentBd,Ex,PConc,Ex,New,Ex,NridgHt,IR2,500067,16030
825,9,20,2,0,2,1652,2006,2007,840.0,6,102,404,13173,RL,Corner,Norm,1Fam,1Story,Hip,VinylSd,Gd,PConc,Ex,WD ,Ex,NridgHt,IR1,325000,9912
1372,1,30,0,1,0,904,1922,1950,0.0,4,0,0,10020,RL,Inside,Norm,1Fam,1Story,Gable,Wd Sdng,Fa,BrkTil,Gd,WD ,Fa,Edwards,IR1,61000,3616
674,5,20,1,0,0,990,1995,1995,576.0,5,0,224,13568,RL,CulDSac,Norm,1Fam,1Story,Gable,VinylSd,TA,PConc,Ex,WD ,TA,CollgCr,IR2,156000,4950
799,7,60,2,1,0,1768,2005,2005,603.0,7,108,0,9803,FV,Inside,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Gd,WD ,Gd,Somerst,Reg,226700,12376
179,6,160,1,1,0,987,1971,1971,264.0,5,0,275,1680,RM,Inside,Norm,Twnhs,2Story,Gable,HdBoard,TA,CBlock,TA,COD,TA,BrDale,Reg,96000,4935
554,4,20,1,0,0,872,1971,1971,480.0,5,0,0,8294,RL,Inside,Norm,1Fam,1Story,Gable,MetalSd,TA,CBlock,TA,WD ,TA,NAmes,Reg,123000,4360
952,8,20,2,1,1,2726,1986,1986,691.0,6,64,216,18044,RL,CulDSac,Norm,1Fam,1Story,Gable,Plywood,Gd,CBlock,Gd,WD ,Gd,Crawfor,IR1,315000,16356
396,6,50,1,0,0,919,1940,1950,231.0,5,0,0,6001,RL,Inside,Norm,1Fam,1.5Fin,Gable,VinylSd,TA,CBlock,Ex,WD ,TA,SWISU,IR1,95000,4595
1341,6,20,1,0,0,1194,1959,1959,312.0,6,0,0,8760,RL,Inside,Norm,1Fam,1Story,Hip,MetalSd,TA,CBlock,TA,WD ,TA,NAmes,Reg,148000,7164
156,8,120,2,0,0,1204,1987,1987,461.0,5,70,120,3701,RL,Inside,Norm,TwnhsE,1Story,Gable,HdBoard,TA,CBlock,TA,WD ,TA,StoneBr,IR1,130000,6020
758,5,20,1,0,0,864,1962,1962,294.0,5,0,58,6600,RL,Inside,PosN,1Fam,1Story,Hip,Wd Sdng,TA,CBlock,Gd,WD ,TA,NAmes,Reg,125500,4320
1040,7,160,2,1,0,1223,2005,2005,480.0,4,166,0,2544,FV,Inside,Norm,Twnhs,2Story,Gable,MetalSd,Gd,PConc,Ex,WD ,Gd,Somerst,Reg,147400,4892
45,8,70,1,1,2,1873,1935,1950,786.0,9,0,0,9670,RL,Inside,Norm,1Fam,2Story,Gable,Stucco,TA,PConc,TA,WD ,TA,Crawfor,IR1,257076,16857
1214,8,20,2,0,1,1468,2008,2008,904.0,6,142,192,9178,RL,Inside,Norm,1Fam,1Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,CollgCr,Reg,239900,8808
1604,8,60,2,1,1,2263,1998,1998,420.0,10,123,144,12090,RL,Corner,Norm,1Fam,2Story,Hip,VinylSd,Gd,PConc,Gd,WD ,Gd,NoRidge,Reg,258000,22630
1430,7,60,2,1,1,1812,2002,2002,469.0,7,112,144,7500,FV,Inside,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Ex,WD ,TA,Somerst,Reg,205000,12684
526,9,20,2,0,1,1868,2005,2005,1085.0,7,56,354,14780,RL,Corner,Norm,1Fam,1Story,Hip,VinylSd,Ex,PConc,Ex,WD ,Ex,NridgHt,IR1,415000,13076
890,7,60,2,1,1,1948,2003,2003,434.0,8,48,0,7875,RL,Inside,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,Gilbert,Reg,211000,15584
318,9,20,2,0,0,1800,2007,2007,702.0,7,136,288,11923,RL,Corner,Norm,1Fam,1Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Ex,CollgCr,IR1,239000,12600
1312,7,70,2,0,0,1944,1915,1994,216.0,8,28,24,9928,RM,Inside,Norm,1Fam,2Story,Gable,Wd Sdng,TA,BrkTil,Fa,WD ,TA,OldTown,Reg,179900,15552
842,9,120,2,0,1,1866,2008,2008,870.0,7,48,0,10110,RL,Inside,Norm,TwnhsE,1Story,Hip,MetalSd,Ex,PConc,Ex,New,Ex,NridgHt,IR1,336860,13062
1836,8,20,2,0,1,1660,2007,2007,660.0,7,120,133,10625,FV,Inside,Norm,1Fam,1Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,Somerst,Reg,256000,11620
1222,5,20,1,0,0,882,1956,1956,308.0,4,45,0,12702,RM,Inside,Norm,1Fam,1Story,Gable,BrkFace,TA,PConc,Gd,WD ,TA,OldTown,Reg,97000,3528
1279,6,20,1,0,1,1299,1954,1995,494.0,6,0,81,11375,RL,Inside,Norm,1Fam,1Story,Gable,VinylSd,TA,CBlock,TA,WD ,Gd,Sawyer,Reg,150000,7794
1123,7,20,1,1,1,1341,1990,1990,506.0,5,0,192,10176,RL,Inside,Norm,1Fam,1Story,Gable,HdBoard,TA,PConc,Gd,WD ,Gd,Gilbert,Reg,171500,6705
1095,6,20,1,0,1,1196,1956,1956,297.0,6,44,0,9000,RL,Inside,Norm,1Fam,1Story,Gable,Wd Sdng,TA,CBlock,Gd,WD ,TA,NAmes,Reg,139000,7176
359,8,20,2,1,1,2113,1995,1995,839.0,7,46,236,10437,RL,Inside,Norm,1Fam,1Story,Hip,MetalSd,Gd,PConc,Ex,WD ,Gd,NoRidge,IR1,350000,14791
550,5,50,1,0,0,1216,1947,1950,336.0,6,0,158,8480,RL,Inside,Norm,1Fam,1.5Fin,Gable,MetalSd,TA,CBlock,TA,COD,TA,NAmes,Reg,118500,7296
1253,5,190,1,0,0,988,1958,1958,264.0,5,0,0,13587,RL,Inside,Norm,2fmCon,1Story,Gable,MetalSd,TA,CBlock,TA,WD ,TA,NAmes,Reg,119000,4940
1589,4,20,1,0,0,1029,1961,1961,261.0,5,0,64,7943,RL,Inside,Feedr,1Fam,1Story,Gable,VinylSd,TA,CBlock,Gd,WD ,TA,Sawyer,Reg,118500,5145
1925,6,20,2,0,1,1440,1981,1981,467.0,7,0,0,12546,RL,Corner,Norm,1Fam,1Story,Gable,MetalSd,Gd,CBlock,Ex,WD ,Gd,NWAmes,IR1,182900,10080
1172,5,20,1,0,0,892,1967,1967,288.0,5,0,0,7150,RL,Inside,Norm,1Fam,1Story,Gable,HdBoard,TA,CBlock,TA,WD ,TA,NAmes,Reg,100000,4460
885,4,30,1,0,0,985,1920,1994,676.0,4,0,0,7898,RL,Corner,Norm,1Fam,1Story,Gable,MetalSd,TA,BrkTil,Gd,WD ,TA,NAmes,Reg,105000,3940
531,8,20,2,0,0,1296,2001,2002,471.0,6,25,192,6853,RL,Inside,Norm,1Fam,1Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,Timber,IR1,220000,7776
1247,3,50,1,0,0,1214,1915,1950,936.0,6,0,216,10410,RL,Corner,Artery,1Fam,1.5Fin,Gable,Wd Sdng,TA,PConc,TA,WD ,TA,OldTown,Reg,105000,7284
1325,5,90,2,2,0,2200,1900,2003,0.0,9,70,0,8777,RL,Inside,Feedr,Duplex,1.5Fin,Gable,MetalSd,TA,CBlock,Gd,WD ,TA,Edwards,Reg,145900,19800
445,5,190,1,0,0,1025,1962,1962,0.0,6,80,96,7000,RL,Inside,Artery,2fmCon,SFoyer,Gable,MetalSd,TA,CBlock,TA,WD ,TA,NAmes,Reg,124000,6150
979,8,20,2,0,1,1822,2005,2006,678.0,8,119,0,14122,RL,Inside,Norm,1Fam,1Story,Hip,CmentBd,Gd,PConc,Ex,WD ,Ex,NridgHt,IR1,259000,14576
1518,2,20,0,0,0,480,1949,1950,308.0,4,0,0,9000,C (all),Inside,Norm,1Fam,1Story,Gable,AsbShng,TA,CBlock,TA,WD ,TA,IDOTRR,Reg,35311,1920
1688,6,70,2,0,1,2555,1922,1994,672.0,11,0,431,11526,RL,Inside,Norm,1Fam,2.5Fin,Gable,MetalSd,TA,BrkTil,Fa,WD ,TA,Crawfor,IR1,191000,28105
1354,6,20,2,0,1,1671,1978,1986,484.0,7,55,252,10928,RL,Inside,Norm,1Fam,1Story,Gable,VinylSd,TA,PConc,TA,WD ,TA,NWAmes,Reg,200000,11697
222,8,160,2,1,0,2687,1994,1994,618.0,9,12,168,13108,RL,Inside,Norm,1Fam,2Story,Gable,CmentBd,Gd,PConc,Ex,WD ,Gd,StoneBr,IR1,270000,24183
1093,5,30,1,0,0,879,1936,1950,180.0,4,108,0,5220,RL,Inside,Norm,1Fam,1Story,Gable,Wd Shng,TA,BrkTil,Gd,WD ,TA,SWISU,IR1,80000,3516
747,7,60,2,1,1,1935,1976,1976,550.0,7,113,0,12384,RL,CulDSac,Norm,1Fam,2Story,Gable,Plywood,TA,CBlock,TA,WD ,TA,NWAmes,Reg,197900,13545
1812,6,60,2,1,1,2559,1989,1989,506.0,9,245,0,12128,RL,Inside,Norm,1Fam,2Story,Gable,HdBoard,Gd,CBlock,Ex,WD ,Ex,SawyerW,IR1,209000,23031
1956,7,80,2,0,2,1472,1980,1980,588.0,6,48,233,14115,RL,Inside,Norm,1Fam,SLvl,Gable,Plywood,TA,CBlock,TA,WD ,TA,NWAmes,Reg,187500,8832
190,9,60,3,1,1,2798,2005,2006,670.0,11,37,182,16023,RL,CulDSac,Norm,1Fam,2Story,Hip,VinylSd,Gd,PConc,Ex,New,Ex,StoneBr,IR1,457347,30778
95,8,120,2,0,0,1151,2006,2007,484.0,5,60,0,3523,FV,Inside,Norm,TwnhsE,1Story,Gable,VinylSd,Gd,PConc,Ex,New,Gd,Somerst,IR1,166000,5755
336,6,50,1,0,0,1378,1935,1998,162.0,6,0,54,4080,RM,Inside,Norm,1Fam,1.5Fin,Gable,Wd Sdng,TA,PConc,Gd,WD ,Gd,OldTown,Reg,128900,8268
847,7,120,2,0,0,1245,2004,2005,495.0,5,100,0,3435,FV,Corner,Norm,TwnhsE,1Story,Gable,MetalSd,Gd,PConc,Ex,WD ,Gd,Somerst,IR1,178000,6225
1481,5,20,1,0,1,1640,1950,1950,394.0,7,0,0,21370,RL,FR2,Norm,1Fam,1Story,Gable,MetalSd,TA,Slab,TA,WD ,TA,Sawyer,Reg,131000,11480
1220,4,30,1,0,0,747,1945,1950,220.0,4,0,0,4608,RM,Corner,Artery,1Fam,1Story,Gable,MetalSd,TA,CBlock,TA,WD ,TA,OldTown,Reg,80000,2988
1584,5,90,3,0,0,1200,1987,1988,0.0,5,0,120,10800,RL,Inside,Norm,Duplex,1Story,Gable,Plywood,TA,CBlock,TA,WD ,TA,Edwards,Reg,179000,6000
2030,4,50,1,0,0,1178,1900,1950,384.0,7,0,68,8712,C (all),Inside,Norm,1Fam,1.5Fin,Gable,MetalSd,TA,Stone,Gd,WD ,TA,IDOTRR,Reg,102776,8246
1603,8,20,2,0,0,1278,2006,2006,584.0,5,60,0,8640,FV,Inside,Norm,1Fam,1Story,Gable,VinylSd,Gd,PConc,Ex,New,Gd,Somerst,Reg,198600,6390
1442,5,20,1,0,0,1422,1970,1990,576.0,7,0,252,9457,RL,Inside,Norm,1Fam,1Story,Gable,MetalSd,TA,CBlock,TA,WD ,TA,NAmes,Reg,155000,9954
326,5,90,2,0,0,1656,1973,1973,506.0,8,211,0,9246,RL,Inside,Feedr,Duplex,1Story,Gable,Plywood,TA,CBlock,TA,WD ,TA,NWAmes,IR1,135000,13248
2018,6,60,2,1,1,1604,1997,1998,470.0,7,36,0,10839,RL,Corner,Norm,1Fam,2Story,Gable,VinylSd,TA,PConc,Ex,WD ,TA,Gilbert,IR1,181000,11228
536,7,60,2,1,0,1795,2005,2006,578.0,7,111,164,9316,RL,Inside,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,CollgCr,Reg,191000,12565
889,8,60,2,1,0,1590,2008,2008,676.0,6,30,0,9000,FV,Inside,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,Somerst,Reg,210000,9540
561,6,20,1,0,1,1344,1958,1958,525.0,7,118,0,14375,RL,CulDSac,Norm,1Fam,SLvl,Gable,HdBoard,TA,CBlock,Gd,COD,Gd,Timber,IR1,137500,9408
67,7,160,2,0,0,1708,2004,2004,380.0,7,40,0,3363,RM,Inside,Norm,TwnhsE,2Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,Edwards,Reg,130000,11956
286,9,20,2,0,1,2036,2008,2008,780.0,9,154,90,13438,RL,Corner,Norm,1Fam,1Story,Gable,CmentBd,Ex,CBlock,Ex,WD ,Ex,Timber,IR1,410000,18324
1769,6,120,2,0,0,1332,1990,1991,542.0,5,60,0,7175,RL,Inside,Norm,TwnhsE,1Story,Gable,ImStucc,Gd,PConc,Gd,WD ,Gd,SawyerW,Reg,145000,6660
230,9,120,1,1,1,1702,2008,2008,1052.0,7,72,0,8769,RL,Corner,Norm,TwnhsE,1Story,Hip,MetalSd,Ex,PConc,Ex,New,Ex,NridgHt,Reg,367294,11914
1076,6,50,1,1,1,1848,1923,2000,370.0,8,0,0,13053,RL,Inside,Norm,1Fam,1.5Fin,Gambrel,Wd Sdng,TA,BrkTil,Gd,WD ,Gd,BrkSide,Reg,207000,14784
81,9,20,2,0,1,2234,2008,2009,1166.0,9,60,0,17423,RL,CulDSac,Norm,1Fam,1Story,Hip,VinylSd,Ex,PConc,Ex,New,Ex,StoneBr,IR1,501837,20106
1894,5,20,1,0,0,1214,1965,1965,461.0,6,0,0,9170,RL,Corner,Feedr,1Fam,1Story,Hip,MetalSd,TA,CBlock,Ex,WD ,TA,Edwards,Reg,140000,7284
1057,5,90,2,2,0,1792,1974,1974,480.0,8,45,0,9000,RL,FR2,Norm,Duplex,2Story,Gable,VinylSd,TA,CBlock,TA,WD ,TA,NAmes,Reg,133000,14336
703,7,50,1,1,1,2057,1936,1987,180.0,6,0,0,11500,RL,Inside,Norm,1Fam,1.5Fin,Gable,BrkFace,Gd,CBlock,Gd,WD ,Gd,Crawfor,IR1,250000,12342
19,7,60,2,1,0,1547,2009,2009,614.0,7,45,169,8640,FV,Inside,Norm,1Fam,2Story,Gable,VinylSd,TA,PConc,Ex,Con,Gd,Somerst,Reg,215200,10829
1536,6,80,1,0,1,1040,1978,1978,616.0,6,0,131,7176,RL,CulDSac,Norm,1Fam,SLvl,Gable,HdBoard,TA,CBlock,Fa,WD ,TA,Sawyer,IR1,160500,6240
114,2,20,1,0,0,660,1947,1950,0.0,5,0,0,9000,RL,Corner,Norm,1Fam,1Story,Gable,Wd Sdng,TA,Slab,Fa,WD ,Fa,Sawyer,Reg,63900,3300
1771,8,20,2,0,1,1973,2006,2006,895.0,9,45,315,14226,RL,Corner,Norm,1Fam,1Story,Hip,VinylSd,Gd,PConc,Gd,New,Gd,NridgHt,Reg,395000,17757
1819,9,20,2,1,2,1766,2008,2008,874.0,8,36,216,11778,RL,Inside,PosN,1Fam,1Story,Hip,VinylSd,Ex,PConc,Ex,New,Ex,CollgCr,Reg,395039,14128
1162,5,20,1,1,0,1114,2004,2004,576.0,6,102,0,13695,RL,Inside,RRAe,1Fam,1Story,Gable,VinylSd,TA,PConc,Ex,WD ,Gd,SawyerW,Reg,159000,6684
98,9,120,2,0,1,1561,2005,2005,556.0,6,47,203,7313,RL,Inside,Norm,TwnhsE,1Story,Hip,MetalSd,Ex,PConc,Ex,WD ,Ex,NridgHt,Reg,277500,9366
1553,6,60,2,1,1,1755,1999,1999,530.0,7,73,176,9468,RL,CulDSac,Norm,1Fam,2Story,Gable,VinylSd,TA,PConc,Ex,WD ,TA,CollgCr,IR2,214000,12285
1339,5,50,1,0,0,1322,1939,1952,280.0,7,0,0,6240,RM,Inside,Norm,1Fam,1.5Fin,Gable,Wd Sdng,TA,BrkTil,Ex,WD ,TA,BrkSide,Reg,132000,9254
1679,6,20,2,0,1,1093,1966,1966,484.0,6,0,224,10738,RL,Corner,Norm,1Fam,1Story,Hip,HdBoard,TA,CBlock,Gd,WD ,TA,NWAmes,IR1,158500,6558
947,8,50,1,1,1,2132,1983,2009,612.0,5,40,349,12327,RL,Inside,Norm,1Fam,1.5Fin,Gable,Wd Sdng,Gd,CBlock,Ex,WD ,Gd,SawyerW,IR1,316600,10660
1764,8,60,3,1,1,2400,2003,2004,730.0,10,40,114,13262,RL,Inside,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,NridgHt,IR1,290000,24000
1645,6,190,1,1,0,1403,1915,1965,308.0,7,0,0,10320,RM,Inside,Artery,2fmCon,2Story,Gable,MetalSd,TA,CBlock,Ex,WD ,TA,IDOTRR,Reg,116000,9821
118,5,190,2,0,2,1721,1960,1960,626.0,7,84,50,10532,RL,Corner,Norm,1Fam,1Story,Flat,Plywood,TA,CBlock,Gd,WD ,TA,ClearCr,Reg,145000,12047
218,6,20,1,0,1,1505,1953,1953,505.0,6,0,0,12160,RL,Inside,Feedr,1Fam,1Story,Hip,Wd Sdng,TA,CBlock,Ex,WD ,TA,NAmes,Reg,149500,9030
1899,6,60,2,1,1,1481,1994,1995,343.0,6,36,0,8125,RL,Inside,Norm,1Fam,2Story,Gable,HdBoard,TA,PConc,Gd,WD ,TA,Gilbert,Reg,174000,8886
549,4,20,1,0,0,1056,1966,1966,384.0,5,42,0,8900,RH,Inside,Norm,1Fam,1Story,Gable,HdBoard,TA,CBlock,TA,WD ,TA,SawyerW,Reg,107000,5280
2006,6,160,1,1,0,987,1973,1973,264.0,5,0,0,1680,RM,Inside,Norm,Twnhs,2Story,Gable,HdBoard,TA,CBlock,TA,WD ,TA,BrDale,Reg,100000,4935
528,6,20,2,0,1,1632,1958,1988,338.0,6,0,289,9600,RL,Inside,Feedr,1Fam,1Story,Hip,Wd Sdng,TA,CBlock,Gd,WD ,TA,NAmes,Reg,139000,9792
1207,7,60,2,1,1,2093,1986,1991,542.0,7,63,364,20544,RL,CulDSac,Norm,1Fam,2Story,Gable,Plywood,TA,CBlock,Gd,WD ,TA,NWAmes,IR1,215000,14651
1889,5,90,2,0,0,2228,1979,1979,720.0,8,0,73,7018,RL,Inside,Feedr,Duplex,2Story,Gable,HdBoard,TA,Slab,TA,WD ,TA,SawyerW,Reg,147983,17824
1084,9,20,2,0,1,1950,2007,2007,706.0,7,207,156,14418,RL,Inside,Norm,1Fam,1Story,Hip,VinylSd,Ex,PConc,Ex,WD ,Ex,NridgHt,IR1,383000,13650
876,5,20,2,0,0,1020,1965,1965,288.0,5,0,171,9316,RL,Inside,Norm,1Fam,1Story,Gable,Plywood,TA,CBlock,Gd,Oth,TA,Sawyer,IR1,124100,5100
1391,5,20,1,0,0,864,1967,1967,312.0,5,0,0,7130,RL,Inside,Norm,1Fam,1Story,Gable,HdBoard,TA,PConc,TA,WD ,TA,NAmes,Reg,130000,4320
1809,3,50,1,1,0,1183,1948,2002,308.0,6,176,0,6000,RM,Inside,Norm,1Fam,1.5Fin,Gable,MetalSd,TA,CBlock,Ex,WD ,TA,OldTown,Reg,120000,7098
489,8,60,2,1,1,2649,2001,2002,746.0,10,60,0,16900,RL,Inside,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,NridgHt,Reg,421250,26490
423,5,50,1,1,2,1768,1937,1950,240.0,7,0,0,7200,RL,Corner,Feedr,1Fam,1.5Fin,Gable,Wd Sdng,TA,BrkTil,Ex,WD ,Gd,SWISU,Reg,175000,12376
883,6,50,1,1,0,1182,1945,1950,378.0,5,0,0,9576,RM,Inside,Norm,1Fam,1.5Fin,Gable,VinylSd,TA,CBlock,TA,WD ,TA,OldTown,Reg,120000,5910
1382,7,60,2,1,0,1659,2004,2004,484.0,8,68,144,11920,RL,Inside,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,SawyerW,Reg,181000,13272
353,6,50,1,0,1,1458,1948,1950,330.0,6,0,192,17503,RL,Inside,Artery,1Fam,1.5Fin,Gable,VinylSd,TA,CBlock,TA,WD ,TA,NAmes,Reg,97500,8748
662,5,20,1,0,1,912,1967,1967,336.0,5,0,0,8521,RL,FR2,Feedr,1Fam,1Story,Gable,HdBoard,TA,CBlock,TA,WD ,TA,Sawyer,Reg,125000,4560
780,8,20,2,0,1,1646,2007,2008,800.0,7,44,192,9520,RL,Inside,Norm,1Fam,1Story,Gable,VinylSd,Gd,PConc,Ex,New,Gd,Timber,IR1,293077,11522
371,7,70,1,1,2,1740,1940,1984,240.0,6,0,0,13125,RL,Inside,Norm,1Fam,2Story,Gable,Wd Sdng,TA,CBlock,TA,CWD,TA,Crawfor,Reg,219500,10440
1471,5,60,1,1,1,1432,1977,1977,531.0,6,136,0,8286,RL,Corner,Norm,1Fam,2Story,Gable,Plywood,TA,PConc,Ex,WD ,TA,Mitchel,IR1,157000,8592
1212,7,70,1,1,1,1344,1929,1990,456.0,6,0,0,5700,RM,Corner,Feedr,1Fam,2Story,Gable,Wd Shng,TA,BrkTil,Gd,WD ,Gd,OldTown,IR1,140000,8064
65,5,20,1,0,0,1120,2007,2007,0.0,6,30,0,8402,RL,Inside,Feedr,1Fam,1Story,Gable,VinylSd,TA,PConc,Ex,New,TA,Mitchel,Reg,147000,6720
